시,지역명,법정동,단지명,금액_만원,전용면적,층,건축년도,거래년,거래월,거래일,거래일자,거래년월,거래유형,매수자,매도자,지역코드,지번
수원시,수원시 권선구,금곡동,엘지빌리지2,47800,99.88,18,1998,2026,4,20,2026-04-20,2026-04,중개거래,개인,개인,41113,530
수원시,수원시 권선구,호매실동,극동스타클래스,69300,84.94,23,2017,2026,4,20,2026-04-20,2026-04,중개거래,개인,개인,41113,1352
수원시,수원시 권선구,금곡동,일신건영(휴먼빌),35000,60,11,1998,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,252
수원시,수원시 권선구,금곡동,엘지빌리지3,47000,84.42,17,1998,2026,4,20,2026-04-20,2026-04,중개거래,개인,개인,41113,530
수원시,수원시 권선구,고색동,태산1,31000,59.96,12,1997,2026,4,16,2026-04-16,2026-04,중개거래,개인,개인,41113,886-83
수원시,수원시 권선구,호매실동,호매실경남아너스빌,44900,74.93,11,2011,2026,4,20,2026-04-20,2026-04,중개거래,개인,개인,41113,1388
수원시,수원시 권선구,세류동,장미,18900,64.8,2,1983,2026,4,7,2026-04-07,2026-04,중개거래,개인,개인,41113,530-3
수원시,수원시 권선구,서둔동,동남(서둔동),30000,49.68,1,1987,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,361
수원시,수원시 권선구,권선동,매탄권선역리버파크,49500,59.81,9,2001,2026,4,19,2026-04-19,2026-04,중개거래,개인,개인,41113,1304
수원시,수원시 권선구,권선동,대원신동아,32500,59.79,11,1996,2026,4,3,2026-04-03,2026-04,중개거래,개인,개인,41113,1274
수원시,수원시 권선구,구운동,강남(구운동),40000,70.28,9,1991,2026,4,9,2026-04-09,2026-04,중개거래,개인,개인,41113,463
수원시,수원시 권선구,호매실동,호매실경남아너스빌,43000,74.93,5,2011,2026,4,19,2026-04-19,2026-04,중개거래,개인,개인,41113,1388
수원시,수원시 권선구,호매실동,호매실스위첸,45800,59.77,15,2014,2026,4,19,2026-04-19,2026-04,중개거래,개인,개인,41113,1394
수원시,수원시 권선구,호매실동,한양수자인파크원,72200,97.6214,14,2018,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1361
수원시,수원시 권선구,세류동,수원역센트럴어반시티아파트(수원센트럴타운3단지),53700,84.98,1,2015,2026,4,19,2026-04-19,2026-04,중개거래,개인,개인,41113,1280
수원시,수원시 권선구,금곡동,호반 써밋 수원,84000,84.9843,3,2017,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1146
수원시,수원시 권선구,권선동,현대3,45700,84.9364,14,2000,2026,4,14,2026-04-14,2026-04,중개거래,개인,개인,41113,1306
수원시,수원시 권선구,권선동,"보성,유원",37500,60,6,1996,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1265
수원시,수원시 권선구,권선동,대원신동아,31700,59.88,4,1996,2026,4,2,2026-04-02,2026-04,중개거래,개인,개인,41113,1274
수원시,수원시 권선구,권선동,권선자이e편한세상,64900,84.9441,10,2011,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1330
수원시,수원시 권선구,권선동,대림,52000,97.265,3,2001,2026,4,13,2026-04-13,2026-04,중개거래,개인,개인,41113,1321
수원시,수원시 권선구,권선동,현대(권선동),40500,60,11,1996,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1240
수원시,수원시 권선구,곡반정동,수원하늘채더퍼스트2단지,59800,59.96,5,2022,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,654
수원시,수원시 권선구,권선동,수원아이파크시티7단지,59350,59.88,15,2016,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1337
수원시,수원시 권선구,세류동,수원역센트럴어반시티아파트(수원센트럴타운3단지),58500,84.98,7,2015,2026,4,13,2026-04-13,2026-04,중개거래,개인,개인,41113,1280
